epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5024,1.28385,1.07812,0.83711,0.96359,0.45686,0.48086,0.29462,1.18888,0.63438,0.81228,0.000475396,0.000475396,0.000475396
2,155.266,1.08981,0.58057,0.81823,0.9688,0.46292,0.49608,0.32985,1.03692,0.53511,0.80561,0.000932885,0.000932885,0.000932885
3,217.998,1.03783,0.52392,0.8136,0.78051,0.49325,0.51269,0.33534,1.08351,0.52238,0.80761,0.00137151,0.00137151,0.00137151
4,280.778,1.01238,0.4948,0.81092,0.72749,0.48974,0.50951,0.3372,1.03057,0.5065,0.80673,0.00134412,0.00134412,0.00134412
5,341.688,0.99404,0.48199,0.80918,0.67268,0.50293,0.51286,0.34878,0.99598,0.48962,0.80118,0.00131582,0.00131582,0.00131582
6,400.434,0.96867,0.46741,0.80687,0.76075,0.49998,0.52373,0.34053,1.08805,0.51208,0.80647,0.00128753,0.00128753,0.00128753
7,458.769,0.94801,0.45679,0.80486,0.70242,0.50649,0.51684,0.35707,0.97514,0.49667,0.79835,0.00125923,0.00125923,0.00125923
8,516.343,0.92419,0.44343,0.80261,0.61442,0.50778,0.51374,0.35576,0.9767,0.47528,0.79964,0.00123094,0.00123094,0.00123094
9,575.206,0.90783,0.43638,0.80095,0.64079,0.5015,0.51016,0.33682,1.09759,0.51405,0.80468,0.00120265,0.00120265,0.00120265
10,634.653,0.89428,0.42919,0.79884,0.61651,0.5049,0.50961,0.34657,1.05685,0.50467,0.80321,0.00117435,0.00117435,0.00117435
11,695.313,0.8939,0.42607,0.79931,0.61668,0.50311,0.51543,0.36226,0.96127,0.48662,0.79957,0.00114606,0.00114606,0.00114606
12,754.723,0.87656,0.41946,0.79798,0.64414,0.50385,0.51835,0.35957,0.97038,0.47535,0.79709,0.00111776,0.00111776,0.00111776
13,814.342,0.86343,0.4129,0.79687,0.60772,0.51216,0.52103,0.35627,1.00365,0.46834,0.79952,0.00108947,0.00108947,0.00108947
14,874.287,0.85989,0.40901,0.79625,0.6214,0.51063,0.5192,0.36328,0.96342,0.45604,0.79681,0.00106118,0.00106118,0.00106118
15,934.523,0.83857,0.40036,0.7953,0.57435,0.51034,0.50975,0.35529,0.99074,0.46744,0.79801,0.00103288,0.00103288,0.00103288
16,993.991,0.84069,0.40042,0.79468,0.6307,0.51099,0.51938,0.36938,0.94569,0.45337,0.79482,0.00100459,0.00100459,0.00100459
17,1053.24,0.82799,0.39212,0.79392,0.64917,0.50489,0.52168,0.35461,1.01871,0.46795,0.80114,0.000976293,0.000976293,0.000976293
18,1111.79,0.82703,0.39281,0.79408,0.63717,0.50821,0.52784,0.37394,0.92914,0.43458,0.79519,0.000947999,0.000947999,0.000947999
19,1170.39,0.81767,0.38782,0.79256,0.58931,0.51536,0.51476,0.37508,0.89413,0.45312,0.79309,0.000919704,0.000919704,0.000919704
20,1229.6,0.80615,0.38213,0.79181,0.62197,0.5161,0.52475,0.3717,0.93363,0.43956,0.7965,0.00089141,0.00089141,0.00089141
21,1288.94,0.80514,0.37932,0.79109,0.61175,0.51939,0.52572,0.37568,0.92831,0.44101,0.79554,0.000863116,0.000863116,0.000863116
22,1348.62,0.80345,0.38057,0.79148,0.61973,0.51356,0.52128,0.35994,1.00401,0.45768,0.80452,0.000834822,0.000834822,0.000834822
23,1408.17,0.79362,0.37263,0.79062,0.58559,0.51577,0.5158,0.36051,0.98823,0.46234,0.79533,0.000806528,0.000806528,0.000806528
24,1465.17,0.78675,0.37047,0.78903,0.64416,0.51463,0.53118,0.37552,0.92434,0.43119,0.79411,0.000778233,0.000778233,0.000778233
25,1524.34,0.77927,0.36569,0.78929,0.60493,0.51452,0.52444,0.36541,0.97177,0.45383,0.7976,0.000749939,0.000749939,0.000749939
26,1584.5,0.77846,0.36585,0.78897,0.6201,0.50658,0.52195,0.34854,1.05374,0.47848,0.80636,0.000721645,0.000721645,0.000721645
27,1643.82,0.77193,0.36267,0.78804,0.58583,0.51486,0.51851,0.36572,0.97043,0.44794,0.79568,0.000693351,0.000693351,0.000693351
28,1703.62,0.76906,0.36128,0.78843,0.56938,0.51717,0.51423,0.36748,0.94382,0.42967,0.79351,0.000665057,0.000665057,0.000665057
29,1763.59,0.75975,0.35665,0.78808,0.56848,0.51055,0.51588,0.36432,0.96742,0.44314,0.79626,0.000636762,0.000636762,0.000636762
30,1824.28,0.75355,0.35421,0.78745,0.60144,0.51741,0.52397,0.37197,0.94072,0.43302,0.79622,0.000608468,0.000608468,0.000608468
31,1884.68,0.75214,0.3529,0.78722,0.64361,0.51935,0.53257,0.37222,0.96691,0.43681,0.79724,0.000580174,0.000580174,0.000580174
