epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.8609,1.63801,1.23545,0.87379,0.9083,0.38484,0.39933,0.1811,1.75498,0.94787,0.86107,0.000475396,0.000475396,0.000475396
2,140.335,1.49797,0.78263,0.85672,0.90924,0.3973,0.3988,0.18113,1.74502,0.90375,0.85928,0.000932885,0.000932885,0.000932885
3,192.765,1.45628,0.73396,0.85286,0.43366,0.41674,0.42076,0.20729,1.65649,0.84519,0.85695,0.00137151,0.00137151,0.00137151
4,245.12,1.44531,0.71285,0.85108,0.92303,0.41574,0.42862,0.20356,1.65665,0.85144,0.84982,0.00134412,0.00134412,0.00134412
5,297.142,1.40704,0.68576,0.84531,0.90392,0.40204,0.42201,0.19873,1.72816,0.88075,0.85902,0.00131582,0.00131582,0.00131582
6,349.331,1.38365,0.66912,0.84386,0.9245,0.41366,0.428,0.21355,1.61492,0.84498,0.84619,0.00128753,0.00128753,0.00128753
7,401.583,1.36981,0.65504,0.84132,0.91558,0.41435,0.41606,0.20494,1.6579,0.85451,0.85658,0.00125923,0.00125923,0.00125923
8,453.768,1.34009,0.63523,0.83838,0.92564,0.41571,0.42078,0.21282,1.61573,0.82677,0.8514,0.00123094,0.00123094,0.00123094
9,505.136,1.32802,0.62928,0.83777,0.92664,0.42037,0.42119,0.21969,1.6015,0.81079,0.85026,0.00120265,0.00120265,0.00120265
10,555.31,1.31785,0.6201,0.83506,0.91653,0.41571,0.41994,0.21367,1.62825,0.82606,0.85425,0.00117435,0.00117435,0.00117435
11,606.628,1.30153,0.60909,0.83385,0.93451,0.41952,0.42464,0.22613,1.55463,0.79017,0.8451,0.00114606,0.00114606,0.00114606
12,657.181,1.27947,0.59504,0.83091,0.91991,0.41264,0.41124,0.20258,1.62529,0.83892,0.85092,0.00111776,0.00111776,0.00111776
13,707.543,1.27571,0.59164,0.83035,0.93147,0.42168,0.42735,0.22429,1.60581,0.79099,0.84845,0.00108947,0.00108947,0.00108947
14,759.16,1.26235,0.5852,0.82879,0.92115,0.41702,0.41406,0.21079,1.62283,0.81429,0.85271,0.00106118,0.00106118,0.00106118
15,810.915,1.24018,0.57316,0.82792,0.90852,0.40562,0.40502,0.1984,1.72494,0.85272,0.86339,0.00103288,0.00103288,0.00103288
16,862.726,1.24029,0.56874,0.82741,0.90915,0.40889,0.4143,0.20972,1.67594,0.84425,0.86228,0.00100459,0.00100459,0.00100459
17,913.101,1.21615,0.55727,0.82412,0.92629,0.41465,0.42034,0.21853,1.61385,0.80011,0.85199,0.000976293,0.000976293,0.000976293
18,963.847,1.21151,0.55387,0.82456,0.92239,0.41472,0.41292,0.2084,1.64091,0.81627,0.85399,0.000947999,0.000947999,0.000947999
19,1014.02,1.20766,0.55144,0.82466,0.92274,0.41717,0.41826,0.21373,1.66794,0.80733,0.85696,0.000919704,0.000919704,0.000919704
20,1064.95,1.19389,0.54339,0.82299,0.92468,0.41324,0.4129,0.20515,1.68345,0.82034,0.85773,0.00089141,0.00089141,0.00089141
21,1115.43,1.18039,0.53541,0.82105,0.91987,0.41731,0.41847,0.21134,1.67719,0.80742,0.85762,0.000863116,0.000863116,0.000863116
