epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.389,1.2991,0.82074,0.93364,0.43935,0.4408,0.43894,0.25031,1.4917,0.88423,0.98816,0.000475865,0.000475865,0.000475865
2,505.213,1.23912,0.6891,0.91692,0.45872,0.45572,0.44122,0.26288,1.40565,0.84823,0.96457,0.000933344,0.000933344,0.000933344
3,740.203,1.21298,0.66719,0.91249,0.44052,0.44359,0.43658,0.2604,1.36523,0.8645,0.95649,0.00137196,0.00137196,0.00137196
4,973.402,1.18886,0.64401,0.90702,0.49326,0.45719,0.43619,0.25405,1.41649,0.83221,0.97185,0.00134412,0.00134412,0.00134412
5,1207.07,1.16189,0.6163,0.89955,0.47636,0.46062,0.44373,0.27247,1.35746,0.81688,0.96227,0.00131582,0.00131582,0.00131582
6,1440.4,1.13816,0.59621,0.89547,0.56225,0.44594,0.44527,0.26791,1.40656,0.81691,0.9793,0.00128753,0.00128753,0.00128753
7,1673.85,1.11629,0.57834,0.89154,0.50692,0.45767,0.45292,0.28033,1.33063,0.80636,0.95114,0.00125923,0.00125923,0.00125923
8,1907.1,1.08295,0.54765,0.88507,0.48694,0.4671,0.45283,0.27377,1.39144,0.78201,0.97501,0.00123094,0.00123094,0.00123094
9,2140.33,1.06547,0.53486,0.88174,0.49871,0.45913,0.45383,0.277,1.41937,0.79747,0.97716,0.00120265,0.00120265,0.00120265
10,2373.62,1.03865,0.51183,0.87501,0.47799,0.4665,0.44936,0.27789,1.40127,0.74139,0.98404,0.00117435,0.00117435,0.00117435
11,2606.21,1.01404,0.4924,0.87187,0.49942,0.46405,0.45183,0.27818,1.37624,0.75235,0.97549,0.00114606,0.00114606,0.00114606
12,2839.19,0.99967,0.48209,0.86736,0.49851,0.46327,0.44478,0.27071,1.39642,0.76717,0.97553,0.00111776,0.00111776,0.00111776
13,3072.56,0.97635,0.46558,0.86368,0.4854,0.46128,0.45002,0.27821,1.40467,0.73432,0.98594,0.00108947,0.00108947,0.00108947
14,3305.59,0.96307,0.45716,0.86042,0.4821,0.47131,0.45022,0.27564,1.42963,0.75163,0.9972,0.00106118,0.00106118,0.00106118
15,3539.43,0.94901,0.44906,0.85956,0.49239,0.46621,0.44856,0.27279,1.43277,0.74417,0.99992,0.00103288,0.00103288,0.00103288
16,3773.15,0.92834,0.43512,0.85546,0.52974,0.46732,0.45405,0.28324,1.42346,0.71534,1.0052,0.00100459,0.00100459,0.00100459
17,4008.76,0.91021,0.4275,0.8536,0.48939,0.46397,0.44745,0.27953,1.43327,0.71257,1.006,0.000976293,0.000976293,0.000976293
18,4242.22,0.89769,0.41826,0.85106,0.47981,0.46824,0.44979,0.27714,1.4585,0.73217,1.01677,0.000947999,0.000947999,0.000947999
19,4476.27,0.88683,0.41076,0.84932,0.48707,0.46924,0.45138,0.27763,1.44211,0.71282,1.01151,0.000919704,0.000919704,0.000919704
20,4709.52,0.88117,0.40951,0.8484,0.49262,0.46306,0.44246,0.26775,1.46729,0.74497,1.02251,0.00089141,0.00089141,0.00089141
21,4942.95,0.8641,0.39936,0.84451,0.47135,0.46507,0.44823,0.27741,1.45383,0.72979,1.01297,0.000863116,0.000863116,0.000863116
22,5175.54,0.85701,0.39505,0.8436,0.47298,0.46705,0.44682,0.27626,1.46446,0.71474,1.02591,0.000834822,0.000834822,0.000834822
23,5408.48,0.84362,0.38555,0.84105,0.49669,0.46935,0.44782,0.27548,1.43916,0.72061,1.0131,0.000806528,0.000806528,0.000806528
24,5641.64,0.83874,0.38308,0.84062,0.50714,0.46219,0.4472,0.27343,1.42881,0.72913,0.99939,0.000778233,0.000778233,0.000778233
25,5875.68,0.83042,0.37921,0.83972,0.52512,0.46247,0.44846,0.2772,1.45222,0.7191,1.02259,0.000749939,0.000749939,0.000749939
26,6109.03,0.82006,0.37393,0.8371,0.48295,0.46381,0.45149,0.28196,1.42746,0.70822,1.00402,0.000721645,0.000721645,0.000721645
