epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.774,1.38016,1.20556,0.92477,0.93981,0.43968,0.43341,0.24459,1.37651,0.95964,0.93922,0.000475396,0.000475396,0.000475396
2,335.13,1.28281,0.8213,0.91594,0.41612,0.42112,0.41672,0.22182,1.48503,0.91431,0.98396,0.000932885,0.000932885,0.000932885
3,487.104,1.2519,0.73462,0.91195,0.9421,0.43901,0.43347,0.24567,1.42134,0.84967,0.96017,0.00137151,0.00137151,0.00137151
4,638.041,1.24039,0.7068,0.91095,0.44369,0.44182,0.44315,0.25516,1.3584,0.84781,0.94519,0.00134412,0.00134412,0.00134412
5,788.662,1.20893,0.66658,0.90343,0.44724,0.44364,0.43848,0.25675,1.38381,0.80106,0.95796,0.00131582,0.00131582,0.00131582
6,939.678,1.18565,0.64293,0.89921,0.54286,0.44474,0.44177,0.25745,1.45109,0.77737,0.97801,0.00128753,0.00128753,0.00128753
7,1090.77,1.16252,0.61778,0.89544,0.45704,0.45307,0.42887,0.23913,1.47871,0.8163,0.9858,0.00125923,0.00125923,0.00125923
8,1241.74,1.128,0.59058,0.88948,0.69077,0.44432,0.43678,0.25067,1.45412,0.77733,0.98385,0.00123094,0.00123094,0.00123094
9,1392.26,1.10738,0.56834,0.88519,0.47343,0.45463,0.43461,0.25108,1.43428,0.74477,0.9807,0.00120265,0.00120265,0.00120265
10,1542.63,1.08675,0.54969,0.88002,0.4995,0.45219,0.44175,0.24862,1.50199,0.79334,0.98561,0.00117435,0.00117435,0.00117435
11,1692.96,1.06644,0.53567,0.87733,0.476,0.46101,0.43471,0.24906,1.45146,0.76079,0.97901,0.00114606,0.00114606,0.00114606
12,1843.49,1.04123,0.51502,0.87163,0.48911,0.46155,0.43571,0.24954,1.46037,0.76161,0.98346,0.00111776,0.00111776,0.00111776
13,1993.9,1.03068,0.50666,0.86993,0.48024,0.46155,0.4396,0.25845,1.48065,0.71069,1.00412,0.00108947,0.00108947,0.00108947
14,2143.9,1.01014,0.49283,0.86605,0.46394,0.46489,0.43784,0.25682,1.4421,0.72121,0.98136,0.00106118,0.00106118,0.00106118
15,2294.12,0.9946,0.48081,0.8643,0.46035,0.46674,0.43515,0.25468,1.48826,0.69572,1.00555,0.00103288,0.00103288,0.00103288
16,2443.83,0.9886,0.47838,0.86304,0.47037,0.4641,0.43933,0.25758,1.50397,0.7006,1.00927,0.00100459,0.00100459,0.00100459
17,2593.66,0.97097,0.46582,0.85969,0.47603,0.4639,0.43291,0.25456,1.47362,0.68915,1.00232,0.000976293,0.000976293,0.000976293
18,2743.58,0.96591,0.46173,0.86003,0.48486,0.46308,0.43385,0.25487,1.47433,0.6976,1.00384,0.000947999,0.000947999,0.000947999
19,2893.27,0.95549,0.45413,0.85774,0.4767,0.46466,0.43056,0.25053,1.49129,0.6971,1.0105,0.000919704,0.000919704,0.000919704
20,3042.81,0.95064,0.4506,0.85769,0.47031,0.46267,0.433,0.25105,1.4793,0.69127,1.00875,0.00089141,0.00089141,0.00089141
21,3192.59,0.93012,0.44004,0.85333,0.46854,0.46493,0.43011,0.24644,1.50902,0.68764,1.01498,0.000863116,0.000863116,0.000863116
22,3342.3,0.92875,0.43605,0.85306,0.50723,0.45807,0.43093,0.24956,1.46837,0.70831,1.00424,0.000834822,0.000834822,0.000834822
23,3491.91,0.91966,0.43267,0.85113,0.48394,0.46637,0.42868,0.24818,1.4799,0.68797,1.01461,0.000806528,0.000806528,0.000806528
